id_data,id_transaksi,item,tanggal
544,T00161,COMBO LCR 700ML,1/20/2018
545,T00161,PIGEON SILICON NIPPLE S,1/20/2018
546,T00162,3 HEADWRAPS,1/20/2018
547,T00162,KK WINTEKU,1/20/2018
548,T00162,TOBOT MINI C,1/20/2018
549,T00162,LEGO POLICE,1/20/2018
550,T00162,LEGING CATTON DICH,1/20/2018
551,T00162,BR 864 S,1/20/2018
552,T00162,CD BOXER CEWE,1/20/2018
553,T00162,CELANA KORSET,1/20/2018
554,T00162,BANTAL GAMBAR SET,1/20/2018
555,T00162,JUMPSUITS CARTER,1/20/2018
556,T00162,JUMPSUIT JAS,1/20/2018
557,T00162,PIGEON SCREW CAP + NIPPLE COVER RP,1/20/2018
558,T00162,PIGEON NOSE CLEANER WITH BLISTER,1/20/2018
559,T00163,CELANA ANAK CEWEK 165K,1/21/2018
560,T00163,WASHLAP KOTAK OKIYO,1/21/2018
561,T00164,ST KT PJG S.M.L,1/21/2018
562,T00164,KAIN PANJANG,1/21/2018
563,T00164,KAIN PANJANG ANGGUR AGUNG,1/21/2018
564,T00164,BANTAL NEMO M SN,1/21/2018
565,T00164,BABY PLAYSET 1838A-3,1/21/2018
566,T00164,FD NISHIKAWA S,1/21/2018
567,T00165,PERLAK ONDO PRINT,1/21/2018
568,T00165,OBL LITTLE OWL,1/21/2018
569,T00165,STK YON YAN,1/21/2018
570,T00165,BANTAL MAHKOTA,1/21/2018
571,T00165,TAS MOM'S BABY 3022,1/21/2018
572,T00165,BABY SOCKS 1-3,1/21/2018
573,T00165,ROK FINKA TUA,1/21/2018
574,T00165,BJ WIEDY PD POLOS,1/21/2018
575,T00166,SEPATU SET BANDO OKYO,1/21/2018
576,T00166,SINGLET POLOS 16,1/21/2018
577,T00166,SHORT SLEEVE,1/21/2018
578,T00166,TOPI SET MAMIMU,1/21/2018
579,T00166,DINO SH-1603,1/21/2018
580,T00166,DIE CAST TOY VEHICLES,1/21/2018
581,T00166,SILICONE NASAL,1/21/2018
582,T00167,BOTOL SUSU KACA,1/21/2018
583,T00167,ATASAN 185,1/21/2018
584,T00168,WH-3583,1/21/2018
585,T00168,GUNTING KUKU,1/21/2018
586,T00168,KAOS KAKI + BANDO RAJUT,1/21/2018
587,T00169,KOJONG KECIL GAMBAR,1/21/2018
588,T00169,STR-M327,1/21/2018
589,T00169,KK TT37301,1/21/2018
590,T00169,ST 9808/9804/9812,1/21/2018
591,T00169,JACKET TRUTLE,1/21/2018
592,T00169,LIBBY IVY RUFFLE,1/21/2018
593,T00169,GURITA PEREKAT,1/21/2018
594,T00169,CELANA KORSET,1/21/2018
595,T00169,DRES CEWEK 2,1/21/2018
596,T00169,CELANA PANJANG TC XL,1/21/2018
597,T00169,CELANA PANJANG TC M,1/21/2018
598,T00169,CD COREX 3,1/21/2018
599,T00169,BH MENYUSUI + BUSA,1/21/2018
600,T00169,BOUNCER FUN DINO R3,1/21/2018
601,T00169,BR RKG BABY,1/21/2018
602,T00169,CUSSONS BABY GIFT BOX,1/21/2018
603,T00169,JOHNSON'S BEDTIME BABY POWDER 75+25G,1/21/2018
604,T00170,PUMPING CROWN ELECT,1/21/2018
605,T00170,POW 100G MILD & GENTLE,1/21/2018
606,T00171,BABY SET 160,1/22/2018
607,T00171,HANDUK PENTHOUSE,1/22/2018
608,T00172,SINGLET VILERY COW 14,1/22/2018
609,T00172,BEDONG SHAQUEN POLOS,1/22/2018
610,T00172,DOC SET 6602B,1/22/2018
611,T00172,DOCTOR PLAY SET,1/22/2018
612,T00174,TL-3646,1/22/2018
613,T00174,KK OKEBOO,1/22/2018
614,T00174,BANDANA BAOBEI,1/22/2018
615,T00174,PARSEL KONTAINER 2,1/22/2018
616,T00174,DRES OSB,1/22/2018
617,T00175,JAC JEANS 465,1/23/2018
618,T00175,STK MAMIMU,1/23/2018
619,T00175,BABY SET 146,1/23/2018
620,T00175,CLANA CHICO MIKO TK,1/23/2018
621,T00175,WASHLAP OKIYO JARI,1/23/2018
622,T00175,BUGGI 106,1/23/2018
623,T00176,SINGLET SAILOR 20,1/23/2018
624,T00176,TEETHER IQ BABY,1/23/2018
625,T00176,LEGGING PLATINUM,1/23/2018
626,T00176,KK WINTEKU,1/23/2018
627,T00176,PK REGULAR S22,1/23/2018
628,T00176,JAC 501,1/23/2018
629,T00176,STL SE627,1/23/2018
630,T00176,TOPI IKAT CEW,1/23/2018
631,T00176,GURITA IBU,1/23/2018
632,T00176,BANTAL SUSU OMILAND,1/23/2018
633,T00176,DRES OSB,1/23/2018
634,T00176,GAMIS UK A-C,1/23/2018
635,T00177,POW 100G MILD & GENTLE,1/23/2018
636,T00178,SETELAN ANAK 65K,1/23/2018
637,T00179,SETELAN YIKA ,1/24/2018
638,T00179,LEGING RUBY POLOS,1/24/2018
639,T00179,JUMPER CHIYO TOPI TK ,1/24/2018
640,T00179,CARDIGAN RUBY SALUR,1/24/2018
641,T00179,KK PINGOO RENDA 3,1/24/2018
642,T00179,HANDUK PENTHOUSE,1/24/2018
643,T00180,GDP HIPSEAT BABY FAMILY,1/24/2018
644,T00180,ST VELVET PJG OBLS.M.L,1/24/2018
645,T00180,ST VELVET PJG NB ,1/24/2018
646,T00180,ROK FINKA TUA,1/24/2018
647,T00180,SEPATU VINSKY K,1/24/2018
648,T00180,TOPI LITTLE LEE,1/24/2018
649,T00181,KK PINGO BONEKA,1/24/2018
650,T00181,TERMOS DISNEY MUG,1/24/2018
651,T00181,CD BOX J&M S,1/24/2018
652,T00181,TAS SCOT MEDIUM,1/24/2018
653,T00182,JUMPER SET PACK,1/24/2018
654,T00182,BABY FIRST SPOON & FORK ,1/24/2018
655,T00182,PIGEON SILICON NIPPLE S,1/24/2018
656,T00182,STK MAMIMU,1/24/2018
657,T00182,KK WINTEKU,1/24/2018
658,T00183,BANTAL OMILAND ORB,1/24/2018
659,T00183,ST PIYAMA 7-9,1/24/2018
660,T00183,ST PIYAMA 1-3,1/24/2018
661,T00183,ST PIYAMA SS-M,1/24/2018
662,T00183,LEGGING PITA,1/24/2018
663,T00184,ST JZ0641,1/24/2018
664,T00184,CD BOXER CEWE,1/24/2018
665,T00184,CELANA KODOK 1703,1/24/2018
666,T00184,CELANA KODOK 1704,1/24/2018
667,T00184,BEDONG FULL PRINT,1/24/2018
668,T00185,ATASAN YIKA M9080/4167/81,1/25/2018
669,T00185,TOPI RAJUT POLIE,1/25/2018
670,T00185,PERLAK ONDO PRINT,1/25/2018
671,T00185,CLANA CHICO MIKO TK,1/25/2018
672,T00185,EMPENG PIGEON,1/25/2018
673,T00185,BEDONG INSTAN TOPI,1/25/2018
674,T00185,SELIMUT TOPI POLOS,1/25/2018
675,T00185,SLEEP SUIT NEXT,1/25/2018
676,T00185,KK PINGOO RENDA 3,1/25/2018
677,T00186,HANDUK PENTHOUSE,1/25/2018
678,T00186,SINGLET SAILOR 30,1/25/2018
679,T00186,SINGLET WARNA 24,1/25/2018
680,T00186,SINGLET POLOS 16,1/25/2018
681,T00186,B. WASH PUMP,1/25/2018
682,T00186,STK MAMIMU,1/25/2018
683,T00187,MP 555-1-2,1/25/2018
684,T00187,BONEKA BETTY,1/25/2018
685,T00187,KOKOH ANAK 160K,1/25/2018
686,T00187,STL SE481-SE487,1/25/2018
687,T00187,ATASAN 85K,1/25/2018
688,T00187,BABY SET 135,1/25/2018
689,T00187,AT S85201,1/25/2018
690,T00187,HANDUK CHALIMER BESAR,1/25/2018
691,T00187,CELANA KODOK 1703,1/25/2018
692,T00188,CELANA PANJANG TC L,1/25/2018
693,T00188,CELANA PANJANG TC S,1/25/2018
694,T00188,CELANA PANJANG POLOS S,1/25/2018
695,T00188,CELANA PENDEK POLOS S,1/25/2018
696,T00188,SKIDDERS BONEKA,1/25/2018
697,T00188,PARSEL KONTAINER 2,1/25/2018
698,T00188,BH MENYUSUI + BUSA,1/25/2018
699,T00188,BAJU NECI 3-6 GAMBAR,1/25/2018
700,T00189,POPOK ZAHDAN SN,1/26/2018
701,T00189,CARDIGAN RUBY SALUR,1/26/2018
702,T00189,STK YON YAN,1/26/2018
703,T00189,KASUR CHEKIDO SET,1/26/2018
704,T00189,CELANA PJG BLESSING S.M.L,1/26/2018
705,T00189,ST D'NORFA PD PTH,1/26/2018
706,T00189,POPOK CT K,1/26/2018
707,T00189,POPOK CT B,1/26/2018
708,T00190,BJ PDK BLESSING SML,1/26/2018
709,T00190,BJ OBL BLESSING PJ,1/26/2018
710,T00190,CELANAN POP SWITIE 0-3,1/26/2018
711,T00190,ST CARE  BUNTUNG NB,1/26/2018
712,T00190,KASUR CHEKIDO BESAR,1/26/2018
713,T00190,BJ WIEDY PJG PRINT,1/26/2018
714,T00190,ST WIEDY PJG M,1/26/2018
715,T00190,KK PINGO BONEKA,1/26/2018
716,T00191,KTNG ASI GABAG 100ML,1/26/2018
717,T00191,SARUNG TANGAN BABY YO,1/26/2018
718,T00191,SINGLET JESSIE&MIKA,1/26/2018
719,T00191,WIPES CHAMOMILE 20'S,1/26/2018
720,T00191,STK MAMIMU,1/26/2018
721,T00191,KK WINTEKU,1/26/2018
722,T00191,WALKIE TALKIE,1/26/2018
723,T00192,PIANO KK,1/26/2018
724,T00192,TL-3646,1/26/2018
725,T00193,LEGING BUKA KAKI BUSA,1/26/2018
726,T00193,KOJONG BESAR GAMBAR,1/26/2018
727,T00193,KODOK OVER ALL 5L,1/26/2018
728,T00194,JUMPER ANAK 110K,1/26/2018
729,T00194,CD BOXER CEWE,1/26/2018
730,T00195,LEGGING GERBER TK,1/26/2018
731,T00195,DR-99837,1/26/2018
732,T00195,OBLONG PDK SABLON S,1/26/2018
733,T00195,BAJU PDK GAMBAR 6-12,1/26/2018
734,T00195,JAKET BULU IMPOR 250K,1/26/2018
735,T00195,JOHNSON'S COTTONTOUCH FACE & BODY BABY LOTION,1/26/2018
736,T00195,MINYAK KAYU PUTIH CAPLANG,1/26/2018
737,T00195,WIPES 50'S SOFT & SMOOTH,1/26/2018
738,T00196,B CEW/COW M,1/27/2018
739,T00196,ST KT PJG S.M.L,1/27/2018
740,T00197,GENDONGAN HIPSEAT 6 POSISI,1/27/2018
741,T00197,TOPI OKIYO O,1/27/2018
742,T00198,KK RENDA MAMIMU,1/27/2018
743,T00199,LEGING RUBY POLOS,1/27/2018
744,T00199,HANDUK PENTHOUSE,1/27/2018
745,T00200,KK CARTER 0-12 M,1/27/2018
746,T00200,GDP SCOT BSG 2101,1/27/2018
747,T00200,ST VELVET PD SML OB,1/27/2018
748,T00200,POPOK CHUBIE WARNA,1/27/2018
749,T00200,TOPI BOBOKO B,1/27/2018
750,T00200,BTL PP 50ML GAMBAR ANIMAL,1/27/2018
751,T00200,POPOK KATUN 1/2LSN,1/27/2018
752,T00200,KK WINTEKU,1/27/2018
753,T00200,BT 58652,1/27/2018
754,T00200,CARS 8PCS,1/27/2018
755,T00200,AT TRS-SK02,1/27/2018
756,T00200,GURITA REAKT MAMIMU,1/27/2018
757,T00200,AT 8044,1/27/2018
758,T00200,KK RENDA SOCKS 8-12,1/27/2018
759,T00200,STK JANGKAR DLS7222,1/27/2018
760,T00200,BABY SET 161,1/27/2018
761,T00200,BR RKG BABY,1/27/2018
762,T00201,MANICURE SET LITTLE BABY,1/27/2018
763,T00202,SMART WEAR SEGI EMPAT,1/28/2018
764,T00202,SINGLET NO 4 VELVET JUNIOR,1/28/2018
765,T00202,HANDUK PENTHOUSE,1/28/2018
766,T00202,ST VELVET PD OBL L,1/28/2018
767,T00202,ST D'NORFA PD PTH,1/28/2018
768,T00202,ST D'NORFA PJ WR,1/28/2018
769,T00203,BJ LIBBY PJG S.M.L PTH,1/28/2018
770,T00203,TOPI BOBOKO B,1/28/2018
771,T00203,SINGLET JESSIE&MIKA,1/28/2018
772,T00203,PIGEON SILICON NIPPLE S,1/28/2018
773,T00203,PAPER BAG PITA,1/28/2018
774,T00203,BABY BELL L400,1/28/2018
775,T00204,MINI MARKET ST032,1/28/2018
776,T00204,CARTOON PIANO,1/28/2018
777,T00204,PARCEL STANDARD 1,1/28/2018
778,T00204,JAC BRILIANT,1/28/2018
779,T00204,DR TONG HANG,1/28/2018
780,T00204,ATSAN 185,1/28/2018
781,T00205,JAKET DENIM 210K,1/28/2018
782,T00205,ROK ANAK 125K,1/28/2018
783,T00205,CEL CE 8805,1/28/2018
784,T00205,GEND 2IN1 DIALOG,1/28/2018
785,T00205,TOPI ISI 2 CIHUI,1/28/2018
786,T00205,PIGEON PERISTALTIC PLUS NIPPLE BLISTER 3 PCS M ,1/28/2018
787,T00206,B CEW/COW S,1/29/2018
788,T00206,SINGLET NO 2 VELVET JUNIOR,1/29/2018
789,T00206,GURITA DODORA POLOS,1/29/2018
790,T00206,TOPI SET BOBOKO,1/29/2018
791,T00206,CLANA CHICO MIKO TK,1/29/2018
792,T00206,SELIMUT TOPI POLOS,1/29/2018
793,T00206,KASUR DIALOG LION SERIES ,1/29/2018
794,T00207,LEGING RUBY POLOS,1/29/2018
795,T00207,HANDUK PENTHOUSE,1/29/2018
796,T00207,BEDONG MAMIMU WARNA,1/29/2018
797,T00207,GDP HIPSEAT BABY FAMILY,1/29/2018
798,T00207,SINGLET VILERY COW 18,1/29/2018
799,T00208,POPOK CT B,1/29/2018
800,T00208,BJ WIEDY PD POLOS,1/29/2018
801,T00208,SARUNG TANGAN BABY YO,1/29/2018
802,T00208,KK WINTEKU,1/29/2018
803,T00208,KRINCINGAN MADU & KUPU,1/29/2018
804,T00209,STL PDK SE 626,1/29/2018
805,T00209,KASUR LIPAT TWIN,1/29/2018
806,T00210,JUMPER ANAK 110K,1/29/2018
807,T00210,STELAN CEWE PJG,1/29/2018
808,T00210,BABY SET 11158,1/29/2018
809,T00210,AT 8040,1/29/2018
810,T00210,GEND 2IN1 DIALOG,1/29/2018
811,T00210,CELANA PANJANG TC S,1/29/2018
812,T00210,CELANA POP POLOS 6-12,1/29/2018
813,T00211,DRES 16-619,1/29/2018
814,T00211,SKIDDERS KUPING,1/29/2018
815,T00211,MONKEY DUTY,1/29/2018
816,T00211,BH MENYUSUI + BUSA,1/29/2018
817,T00211,BABY GIFT SET 159,1/29/2018
818,T00211,BAJU PDK GAMBAR 6-12,1/29/2018
819,T00211,BAJU UINO BTG,1/29/2018
820,T00211,DRES OSB,1/29/2018
821,T00212,TOPI SET BOBOKO,1/30/2018
822,T00212,PERLAK ONDO PRINT,1/30/2018
823,T00212,KASUR NEST KELAMBU,1/30/2018
824,T00212,SARUNG TANGAN OKIYO,1/30/2018
825,T00212,TURBAN,1/30/2018
826,T00213,TEETHER YUKI,1/30/2018
827,T00213,PAW PATROL 233,1/30/2018
828,T00213,SWITER NEXT B,1/30/2018
829,T00213,BANDANA BAOBEI,1/30/2018
830,T00213,BANTAL KEPALA BEAR N2X4,1/30/2018
831,T00214,TELON BANDED 100ML+30ML,1/30/2018
832,T00215,PIGEON BTL T,1/31/2018
833,T00215,SINGLET NB VELVET JUNIOR,1/31/2018
834,T00215,FD NISHIKAWA S,1/31/2018
835,T00215,KK RENDA 1-3,1/31/2018
836,T00215,LEGING RUBY POLOS,1/31/2018
837,T00215,BREAST PUMP APPLE,1/31/2018
838,T00215,CELANA POP SET,1/31/2018
839,T00216,CL KOTAK BLESSING SML,1/31/2018
840,T00217,BJ WIEDY PD POLOS,1/31/2018
841,T00218,KK PINGO BONEKA,1/31/2018
842,T00218,KTNG ASI GABAG 100ML,1/31/2018
843,T00218,SARUNG TANGAN BABY YO,1/31/2018
844,T00218,SEPATU BONEKA OKYO,1/31/2018
845,T00218,GITAR PIANO,1/31/2018
846,T00219,KRINCINGAN JALA 1PC,1/31/2018
847,T00219,KRINCINGAN 5 BOLA,1/31/2018
848,T00219,STELAN LIL STAR 3,1/31/2018
849,T00219,STELAN KIBI 2,1/31/2018
850,T00219,ATS 2882 4/14,1/31/2018
851,T00219,CELANA PANJANG TC S,1/31/2018
852,T00230,MINYAK TELON PLUS MY 150ML,1/31/2018
853,T00230,VALUE PACK,1/31/2018
854,T00230,POW 100G MILD & GENTLE,1/31/2018
855,T00230,CARDIGAN,1/31/2018
